sid,isb,search,title,dizhi,lng,lat,name,district,fLng,fLat,followerCount,_id,fAddress
,,,,,,,西市街101弄,浦东,121.70706174085,31.202121178289,3,601918b67e3a052fd496d423,西市街101弄
,,,,,,,水闸北路91弄,浦东,121.76735155018,31.15808722197,4,601918b67e3a052fd496d425,"水闸北路91弄, 水闸北路201弄"
,,,,,,,南桥路669号,浦东,121.70359,31.195237,5,601918b77e3a052fd496d427,川沙镇南桥路669号
,,,,,,,南桥路627号,浦东,121.704533,31.195535,5,601918b77e3a052fd496d429,川沙镇南桥路627号
,,,,,,,西市街175弄,浦东,121.705115,31.202053,4,601918b97e3a052fd496d42c,西市街175弄
M9UKI0U7I2,东城壕路8弄,东城壕路8弄,[浦东] 东城壕路8弄,东城壕路与新川路交叉口西北50米,121.705953,31.195673,东城壕路8弄,浦东,121.7131794,31.20162149,4,601918ba7e3a052fd496d42e,东城壕路8弄
,,,,,,,乔家浜路21弄,浦东,121.709462,31.20172957,4,601918ba7e3a052fd496d430,乔家浜路21弄
,,,,,,,南桥路657号,浦东,121.703854,31.195315,6,601918ba7e3a052fd496d432,川沙镇南桥路657号
,,,,,,,新德路274弄,浦东,121.706261,31.2044,6,601918bb7e3a052fd496d436,新德路274弄
,,,,,,,乔港路11弄,浦东,121.7128866,31.2021861,6,601918bd7e3a052fd496d438,乔港路11弄
,,,,,,,西市街50号,浦东,121.708741,31.202863,7,601918bd7e3a052fd496d43a,西市街50号
,,,,,,,新德路502弄,浦东,121.698822,31.20283977,7,601918be7e3a052fd496d43c,新德路502弄
,,,,,,,江明路36弄,浦东,121.7550395,31.18521658,7,601918be7e3a052fd496d43f,江明路36弄
,,,,,,,益民路小区,浦东,121.7084436,31.20200047,7,601918bf7e3a052fd496d441,"益民路19弄, 益民路27号, 益民路37弄, 益民路45号"
,,,,,,,绿都绣云里(商业类),浦东,121.719855,31.113866,9,601918c07e3a052fd496d447,崇溪路111弄
,,,,,,,新建路1-81号,浦东,121.753904,31.179368,8,601918c17e3a052fd496d44a,"新建路1号, 新建路81号, 新建路75号, 新建路61号, 新建路59号, 新建路55号, 新建路42号, 新建路28号, 新建路15号, 新建路12号, 新建路5号, 新建路4号"
,,,,,,,施宏路448弄,浦东,121.76646572573,31.157703168931,9,601918c27e3a052fd496d44c,施宏路448弄
GVGZ47U8PH,龙馨茗园,龙馨茗园,[浦东] 龙馨茗园,普庆路500弄,121.729379,31.15632,龙馨茗园,浦东,121.736009,31.162198,10,601918c37e3a052fd496d44e,普庆路500弄
,,,,,,,新德路379弄-385号,浦东,121.70333796061,31.20350039696,10,601918c37e3a052fd496d450,"新德路379弄, 新德路381号, 新德路383号, 新德路385号"
IMQS1YE8AU,花木鑫丰苑,花木鑫丰苑,[浦东] 花木鑫丰苑,樱花路469弄,121.552976,31.207064,花木鑫丰苑,浦东,121.559711,31.212872,574,601919ac7e3a052fd496d77c,樱花路469弄
